,colsample_bytree,max_bin,min_child_samples,num_leaves,score,subsample
150,0.6583127494126952,1036.0,16.0,177.0,0.8008008989568708,0.9773828625959274
135,0.8019700625297453,1948.0,5.0,63.0,0.8007754149889124,0.8881221448829011
157,0.9414368961064343,1453.0,7.0,198.0,0.8005340937850672,0.6988729871385437
141,0.9375738629314119,1908.0,4.0,190.0,0.800519072856549,0.4188990318283968
6,0.8657415625670485,1640.0,5.0,13.0,0.8002413983346688,0.6386331568631342
118,0.7476979006568877,1983.0,2.0,175.0,0.7999511140653122,0.43472181974179674
142,0.9340992040068207,1516.0,6.0,185.0,0.7997709097529349,0.40158980770803776
29,0.7105247513045486,1000.0,5.0,78.0,0.7997353195687905,0.6548053996954089
170,0.9074440644185993,1251.0,2.0,165.0,0.7996440251161397,0.8244249669366821
152,0.957162693312076,1999.0,48.0,150.0,0.7995688104135794,0.812951607399974
9,0.9313699016401646,1794.0,4.0,194.0,0.7994470600428363,0.9071394628403928
85,0.6697614107964909,1803.0,6.0,111.0,0.799344330596023,0.8894332425813767
181,0.6586900260431878,1686.0,4.0,184.0,0.7991716641154933,0.7957388249840447
23,0.7837335315361699,1008.0,5.0,27.0,0.7990466762236361,0.4011313696775732
147,0.8144004803605467,1692.0,7.0,13.0,0.7985112175086142,0.8908197033977503
46,0.9621268338533182,1884.0,4.0,11.0,0.7983542645228002,0.9601664353047448
65,0.932323692373714,1821.0,2.0,178.0,0.7981651607137271,0.9395740411545787
174,0.749718838416837,1165.0,5.0,17.0,0.7978718357337217,0.8728271041010469
103,0.7206632347645275,1956.0,36.0,15.0,0.7977186595123955,0.8004223784663106
134,0.6202400884357532,1625.0,3.0,150.0,0.7973099315426131,0.752853420020809
90,0.7261942838719592,1740.0,2.0,97.0,0.7971977963077868,0.9274748591863808
164,0.9777659768807442,1988.0,4.0,156.0,0.7970261820593382,0.9528077370902293
121,0.8883592653932567,1566.0,4.0,12.0,0.7969322497047974,0.6179177231174187
12,0.7371542219453986,1535.0,13.0,123.0,0.7968233635309536,0.9877419989862365
185,0.624391216271438,1980.0,28.0,198.0,0.7963567409641005,0.610537637557205
175,0.9116623279795387,1002.0,8.0,188.0,0.7961793883765147,0.5356686905751652
148,0.6101880738014571,1815.0,1.0,12.0,0.7959732442712146,0.9043363683114704
179,0.9264897153646361,1996.0,5.0,28.0,0.7958673308892923,0.8583506846175708
156,0.6999402412841823,1989.0,38.0,16.0,0.7955426261104277,0.6302148554285759
192,0.6461105564051749,1543.0,4.0,194.0,0.795313929202804,0.6004431084533481
79,0.6,1758.0,1.0,148.0,0.795243404207365,0.6284894304038515
113,0.9527382497359119,1677.0,70.0,37.0,0.7952022673876747,0.9194142735925764
57,0.9763791537174675,1472.0,25.0,10.0,0.7951753448215977,0.5938835340310484
19,0.6387665174515663,1943.0,19.0,10.0,0.795065805171866,0.4113916713342178
4,0.6766509121444393,1116.0,5.0,157.0,0.7947758165328989,0.6946114339414722
64,0.9950778520920243,1756.0,30.0,128.0,0.7945575207653083,0.49827086608268
131,0.9680791129517455,1995.0,39.0,182.0,0.7943414334824455,0.6138059757630426
110,0.8470475258592399,1126.0,59.0,84.0,0.7940836309153112,0.7726377020084894
94,0.7138903354808634,1817.0,37.0,53.0,0.793992875821182,0.4992622388832356
117,0.6631810053041879,1703.0,77.0,123.0,0.7937633308569491,0.9041871083050913
112,0.994395583682587,1082.0,6.0,17.0,0.7935954929225438,0.43171481535256134
203,0.8511070987060039,1273.0,3.0,184.0,0.7924792837970951,0.7641174342882013
17,0.6446423657762891,1393.0,1.0,175.0,0.7924554796623091,0.9643952822179729
77,0.6475862717280636,1804.0,26.0,124.0,0.7923241917972469,0.442877820488049
62,0.7135913195622252,1925.0,5.0,150.0,0.792212622877434,0.9921848144461834
56,0.6449030109749697,1542.0,5.0,199.0,0.7920435215152064,0.9635945546629676
7,0.6257093965498178,1274.0,2.0,14.0,0.7920347133920504,0.6220777898131653
158,0.8789254084519417,1618.0,88.0,33.0,0.7915847258615247,0.9409652987004115
3,0.9328060118864097,1009.0,57.0,13.0,0.7913777132164876,0.9482195131521685
1,0.7545578473336254,1316.0,64.0,139.0,0.791173077337074,0.7272429183057703
111,0.9829200044040431,1940.0,4.0,69.0,0.7910522503552873,0.9749692994216058
106,0.7490935284772138,1626.0,20.0,185.0,0.7909210692516292,0.4288038772731221
138,0.7269585115530351,1469.0,70.0,153.0,0.7908696743840753,0.7842337728141556
59,0.647982068355467,1639.0,81.0,22.0,0.7904831556371466,0.9114296252101782
116,0.8749305052134894,1036.0,96.0,61.0,0.7894070545779709,0.9507318931294146
123,0.8311786601529879,1888.0,96.0,32.0,0.7889826450711859,0.8682052702013754
124,0.8035595814128929,1002.0,94.0,108.0,0.7880640639137326,0.7812520533456793
119,0.7640793544381181,1781.0,64.0,150.0,0.7873678672058737,0.642979070833891
53,0.9319643091314491,1987.0,81.0,16.0,0.7870890648094016,0.7581106581036399
115,0.7581964310574988,1005.0,6.0,176.0,0.7868773323468103,0.7836322417941861
125,0.8808931610964522,1284.0,2.0,35.0,0.7861690277078612,0.9755173646982239
187,0.6508471050787743,1853.0,95.0,22.0,0.7858781619880052,0.8079760677247245
11,0.6810300140242226,1959.0,5.0,167.0,0.7841676715825209,0.9741305026350284
127,0.6875919234401962,1015.0,74.0,15.0,0.7841015294075271,0.6181330649430085
151,0.9675250611519839,1531.0,61.0,25.0,0.7836173620136324,0.43705732303072947
120,0.7660514832797392,1122.0,97.0,155.0,0.783276591934541,0.7482807657246411
155,0.9845527369855127,1017.0,94.0,137.0,0.7814089891379388,0.6664916821679402
52,0.7718857057570343,1006.0,60.0,50.0,0.7812536386910892,0.42890907179728577
139,0.7746327508441213,1902.0,96.0,50.0,0.7792504335994287,0.4844794079062413
2,0.6062899479001362,1965.0,86.0,87.0,0.7789113291007446,0.47769350734155785
122,0.6254287314909571,1860.0,96.0,100.0,0.7783248713406556,0.4902563872125936
25,0.6782818149758884,1659.0,91.0,18.0,0.7768199591253012,0.4672609664594153
105,0.6,1798.0,84.0,28.0,0.7766587522944259,0.4
32,0.8093244488238738,1677.0,99.0,188.0,0.7739137857367887,0.4622169690375231
10,0.9065797166883397,1001.0,91.0,180.0,0.7720095354275059,0.41394943378891585
